student_id,course_id,course_seq_no,status,is_major_ind,semester_seq_no
102003,385,0,completed,0,1
102003,1316,1,completed,1,1
102003,1328,2,completed,1,1
102003,62,3,completed,0,1
102003,1601,4,completed,0,1
102012,1283,8,completed,1,2
102012,1279,9,completed,1,2
102013,1246,5,completed,1,2
102013,1581,6,completed,0,2
102013,1202,7,completed,1,2
103009,1042,8,completed,0,2
103009,770,9,completed,0,2
103010,173,5,completed,0,2
103010,1678,6,completed,0,2
102013,11,8,completed,0,2
102013,271,9,completed,0,2
103010,1686,7,completed,0,2
103010,63,8,completed,0,2
103010,181,9,completed,0,2
103011,1603,5,completed,0,2
103011,1101,6,completed,1,2
101003,549,0,completed,0,1
101003,1707,1,completed,0,1
101003,1316,2,completed,1,1
101003,913,3,completed,0,1
101003,1714,4,completed,0,1
103005,1092,0,completed,1,1
103005,1248,1,completed,1,1
103005,1099,2,completed,1,1
103005,1710,3,completed,0,1
103005,1245,4,completed,1,1
103011,57,7,completed,0,2
103011,1201,8,completed,1,2
103011,661,9,completed,0,2
103012,1391,5,completed,1,2
103012,1396,6,completed,1,2
100016,869,5,completed,0,2
100016,56,6,completed,0,2
100016,1581,7,completed,0,2
100016,1043,8,completed,0,2
102018,1402,5,completed,1,2
102018,1395,6,completed,1,2
102018,1403,7,completed,1,2
103012,1392,7,completed,1,2
103012,1404,8,completed,1,2
103012,1688,9,completed,0,2
100016,250,9,completed,0,2
102018,1396,8,completed,1,2
102018,1404,9,completed,1,2
103007,1314,0,completed,0,1
103007,1090,1,completed,1,1
103007,69,2,completed,0,1
103007,1091,3,completed,1,1
103007,1390,4,completed,0,1
103009,1090,0,completed,0,1
103009,1274,1,completed,1,1
103009,1192,2,completed,0,1
103009,1275,3,completed,1,1
103009,1058,4,completed,0,1
103010,1090,0,completed,1,1
103010,2,1,completed,0,1
103010,1091,2,completed,1,1
103010,655,3,completed,0,1
103010,701,4,completed,0,1
101019,986,5,completed,0,2
101019,557,6,completed,0,2
102012,1274,0,completed,1,1
102012,1281,1,completed,1,1
102012,914,2,completed,0,1
102012,1289,3,completed,1,1
102012,1580,4,completed,0,1
103011,1678,0,completed,0,1
103011,1199,1,completed,1,1
103011,1245,2,completed,1,1
103011,486,3,completed,0,1
103011,475,4,completed,0,1
101019,1318,7,completed,1,2
101019,1330,8,completed,1,2
101019,658,9,completed,0,2
102013,1477,0,completed,0,1
102013,1242,1,completed,1,1
102013,472,2,completed,0,1
102013,1243,3,completed,1,1
102013,1695,4,completed,0,1
103012,1388,0,completed,1,1
103012,1389,1,completed,1,1
103012,1390,2,completed,1,1
103012,1402,3,completed,1,1
103012,1395,4,completed,1,1
100016,1090,0,completed,1,1
100016,1091,1,completed,1,1
100016,701,2,completed,0,1
100016,775,3,completed,0,1
100016,1710,4,completed,0,1
101024,1330,5,completed,1,2
101024,908,6,completed,0,2
101024,1323,7,completed,1,2
101024,1319,8,completed,1,2
101024,1291,9,completed,0,2
102018,1388,0,completed,1,1
102018,384,1,completed,0,1
102018,1389,2,completed,1,1
102018,1390,3,completed,1,1
102018,286,4,completed,0,1
102031,1053,5,completed,0,2
102031,4,6,completed,0,2
102031,1282,7,completed,0,2
101019,1588,0,completed,0,1
101019,23,1,completed,0,1
101019,1316,2,completed,1,1
101019,913,3,completed,0,1
101019,1099,4,completed,0,1
101026,913,5,completed,0,2
101026,1402,6,completed,1,2
102031,1055,8,completed,0,2
102031,987,9,completed,0,2
101026,1395,7,completed,1,2
101026,1710,8,completed,0,2
101026,1391,9,completed,1,2
100033,1259,5,completed,1,2
100033,1496,6,completed,0,2
100033,1211,7,completed,1,2
100033,1112,8,completed,1,2
100033,1327,9,completed,0,2
101024,1314,0,completed,1,1
101024,1389,1,completed,0,1
101024,1316,2,completed,1,1
101024,1321,3,completed,1,1
101024,998,4,completed,0,1
103037,763,5,completed,0,2
103037,1316,6,completed,1,2
101026,1388,0,completed,1,1
101026,1671,1,completed,0,1
101026,649,2,completed,0,1
101026,1389,3,completed,1,1
101026,1583,4,completed,0,1
103037,1321,7,completed,1,2
103037,1322,8,completed,1,2
103037,1330,9,completed,1,2
103039,775,5,completed,0,2
103039,478,6,completed,0,2
101035,403,5,completed,0,2
101035,706,6,completed,0,2
102031,1090,0,completed,1,1
102031,699,1,completed,0,1
102031,1093,2,completed,0,1
102031,252,3,completed,0,1
102031,1091,4,completed,1,1
103039,1710,7,completed,0,2
103039,1699,8,completed,0,2
103039,288,9,completed,0,2
100043,487,5,completed,0,2
100043,1439,6,completed,0,2
100043,1716,7,completed,0,2
100043,715,8,completed,0,2
101035,1403,7,completed,0,2
101035,907,8,completed,0,2
101035,1715,9,completed,0,2
101036,1054,5,completed,0,2
101036,235,6,completed,0,2
100033,1469,0,completed,0,1
100033,1206,1,completed,1,1
100033,1107,2,completed,1,1
100033,1200,3,completed,1,1
100033,85,4,completed,0,1
100043,1251,9,completed,0,2
101036,1200,7,completed,0,2
101036,487,8,completed,0,2
101036,770,9,completed,0,2
103037,1314,0,completed,1,1
103037,1051,1,completed,0,1
103037,1588,2,completed,0,1
103037,863,3,completed,0,1
103037,1457,4,completed,0,1
101035,1092,0,completed,0,1
101035,1090,1,completed,1,1
101035,1091,2,completed,1,1
101035,1672,3,completed,0,1
101035,1721,4,completed,0,1
103039,1090,0,completed,1,1
103039,259,1,completed,0,1
103039,1091,2,completed,1,1
103039,69,3,completed,0,1
103039,472,4,completed,0,1
100048,1289,5,completed,1,2
100048,263,6,completed,0,2
100048,1283,7,completed,1,2
100048,53,8,completed,0,2
101036,1090,0,completed,1,1
101036,1091,1,completed,1,1
101036,655,2,completed,0,1
101036,1589,3,completed,0,1
101036,875,4,completed,0,1
100048,394,9,completed,0,2
100043,1090,0,completed,1,1
100043,202,1,completed,0,1
100043,1091,2,completed,1,1
100043,227,3,completed,0,1
100043,287,4,completed,0,1
100048,1274,0,completed,1,1
100048,862,1,completed,0,1
100048,1275,2,completed,1,1
100048,204,3,completed,0,1
100048,997,4,completed,0,1
103055,914,5,completed,0,2
103055,76,6,completed,0,2
101055,1282,5,completed,1,2
101055,475,6,completed,0,2
103055,1207,7,completed,1,2
103055,38,8,completed,0,2
103055,1196,9,completed,1,2
101055,1290,7,completed,1,2
101055,1283,8,completed,1,2
101055,1279,9,completed,1,2
101056,1322,5,completed,1,2
101056,1318,6,completed,1,2
101056,1246,7,completed,0,2
101056,53,8,completed,0,2
101056,1487,9,completed,0,2
100062,868,5,completed,0,2
100062,714,6,completed,0,2
100062,766,7,completed,0,2
100062,709,8,completed,0,2
101058,1391,5,completed,1,2
101058,1403,6,completed,1,2
100062,1070,9,completed,0,2
100063,1290,5,completed,1,2
100063,1581,6,completed,0,2
100063,1196,7,completed,0,2
100063,1700,8,completed,0,2
101058,1396,7,completed,1,2
101058,1586,8,completed,0,2
101058,1405,9,completed,1,2
100063,1279,9,completed,1,2
101055,1479,0,completed,0,1
101055,1281,1,completed,1,1
101055,1277,2,completed,1,1
101055,1289,3,completed,1,1
101055,267,4,completed,0,1
103055,1092,0,completed,1,1
103055,1243,1,completed,1,1
103055,403,2,completed,0,1
103055,1678,3,completed,0,1
103055,1245,4,completed,1,1
101056,1314,0,completed,1,1
101056,471,1,completed,0,1
101056,1577,2,completed,0,1
101056,1315,3,completed,1,1
101056,50,4,completed,0,1
101058,1388,0,completed,1,1
101058,1389,1,completed,1,1
101058,1091,2,completed,0,1
101058,1402,3,completed,1,1
101058,1395,4,completed,1,1
102068,1067,5,completed,0,2
102068,1283,6,completed,1,2
102068,10,7,completed,0,2
103066,488,5,completed,0,2
103066,58,6,completed,0,2
102068,1319,8,completed,0,2
102068,1279,9,completed,1,2
102070,183,5,completed,0,2
102070,1324,6,completed,1,2
102070,477,7,completed,0,2
103066,709,7,completed,0,2
103066,1202,8,completed,0,2
103066,172,9,completed,0,2
103068,1277,5,completed,1,2
103068,1282,6,completed,1,2
100062,1090,0,completed,1,1
100062,1091,1,completed,1,1
100062,1193,2,completed,0,1
100062,1589,3,completed,0,1
100062,775,4,completed,0,1
102070,1332,8,completed,1,2
102070,16,9,completed,0,2
103068,1290,7,completed,1,2
103068,268,8,completed,0,2
103068,1279,9,completed,1,2
103070,1405,5,completed,0,2
103070,237,6,completed,0,2
100063,1275,0,completed,1,1
100063,1281,1,completed,1,1
100063,55,2,completed,0,1
100063,1277,3,completed,1,1
100063,1289,4,completed,1,1
103070,1252,7,completed,1,2
103070,246,8,completed,0,2
103070,1253,9,completed,1,2
103066,1090,0,completed,1,1
103066,1091,1,completed,1,1
103066,1430,2,completed,0,1
103066,235,3,completed,0,1
103066,553,4,completed,0,1
103068,48,0,completed,0,1
103068,1274,1,completed,1,1
103068,1275,2,completed,1,1
103068,1479,3,completed,0,1
103068,768,4,completed,0,1
102068,868,0,completed,0,1
102068,1281,1,completed,1,1
102068,1277,2,completed,1,1
102068,392,3,completed,0,1
102068,1289,4,completed,1,1
103070,1092,0,completed,1,1
103070,1193,1,completed,1,1
103070,1248,2,completed,1,1
103070,386,3,completed,0,1
103070,1207,4,completed,1,1
102070,1314,0,completed,1,1
102070,1328,1,completed,1,1
102070,228,2,completed,0,1
102070,1318,3,completed,1,1
102070,275,4,completed,0,1
101077,1199,5,completed,1,2
101077,1480,6,completed,0,2
101077,235,7,completed,0,2
101077,1250,8,completed,1,2
101077,1096,9,completed,1,2
103087,29,5,completed,0,2
103087,1249,6,completed,1,2
103087,255,7,completed,0,2
103087,26,8,completed,0,2
103087,268,9,completed,0,2
101083,1054,5,completed,0,2
101083,1392,6,completed,0,2
101083,708,7,completed,0,2
101083,1606,8,completed,0,2
101083,304,9,completed,0,2
101077,1092,0,completed,1,1
101077,1315,1,completed,0,1
101077,1275,2,completed,0,1
101077,1094,3,completed,1,1
101077,298,4,completed,0,1
100093,1206,5,completed,0,2
100093,1329,6,completed,1,2
100093,1322,7,completed,1,2
100093,1318,8,completed,1,2
100093,1246,9,completed,0,2
103087,1093,0,completed,1,1
103087,1248,1,completed,1,1
103087,1094,2,completed,1,1
103087,222,3,completed,0,1
103087,1194,4,completed,1,1
101083,1090,0,completed,1,1
101083,1091,1,completed,1,1
101083,24,2,completed,0,1
101083,234,3,completed,0,1
101083,986,4,completed,0,1
100096,1699,5,completed,0,2
100096,657,6,completed,0,2
100096,1290,7,completed,1,2
100096,1283,8,completed,1,2
101089,1321,5,completed,1,2
101089,173,6,completed,0,2
102098,1395,5,completed,1,2
102098,663,6,completed,0,2
102098,1392,7,completed,1,2
100096,1716,9,completed,0,2
101089,1710,7,completed,0,2
101089,1322,8,completed,1,2
101089,1485,9,completed,0,2
102098,1404,8,completed,1,2
102098,1393,9,completed,1,2
103097,1330,5,completed,1,2
103097,31,6,completed,0,2
100101,1391,5,completed,1,2
100101,1403,6,completed,1,2
100101,1396,7,completed,1,2
100101,1392,8,completed,1,2
103097,1331,7,completed,1,2
103097,1320,8,completed,1,2
103097,1327,9,completed,1,2
100101,1067,9,completed,0,2
100093,1050,0,completed,0,1
100093,1314,1,completed,1,1
100093,762,2,completed,0,1
100093,180,3,completed,0,1
100093,1321,4,completed,1,1
100105,1067,5,completed,0,2
100105,31,6,completed,0,2
100105,1258,7,completed,1,2
100105,1208,8,completed,1,2
101089,862,0,completed,0,1
101089,1315,1,completed,1,1
101089,1328,2,completed,1,1
101089,1469,3,completed,0,1
101089,1705,4,completed,0,1
100105,1251,9,completed,1,2
102109,1282,5,completed,1,2
102109,714,6,completed,0,2
102109,1290,7,completed,1,2
100096,1274,0,completed,1,1
100096,241,1,completed,0,1
100096,1281,2,completed,1,1
100096,1277,3,completed,1,1
100096,1289,4,completed,1,1
102109,14,8,completed,0,2
102109,1283,9,completed,1,2
103097,1,0,completed,0,1
103097,1256,1,completed,0,1
103097,71,2,completed,0,1
103097,1322,3,completed,1,1
103097,1585,4,completed,0,1
102098,1092,0,completed,0,1
102098,1692,1,completed,0,1
102098,1389,2,completed,1,1
102098,1390,3,completed,1,1
102098,391,4,completed,0,1
100101,1388,0,completed,1,1
100101,1389,1,completed,1,1
100101,1390,2,completed,1,1
100101,1402,3,completed,1,1
100101,1395,4,completed,1,1
103108,1256,5,completed,1,2
103108,1249,6,completed,1,2
100105,1577,0,completed,0,1
100105,1248,1,completed,1,1
100105,1245,2,completed,1,1
100105,769,3,completed,0,1
100105,288,4,completed,0,1
103108,1199,7,completed,1,2
103108,287,8,completed,0,2
103108,1037,9,completed,0,2
103110,1402,5,completed,1,2
103110,29,6,completed,0,2
100117,1246,5,completed,0,2
100117,1323,6,completed,1,2
100117,1319,7,completed,1,2
100117,1331,8,completed,1,2
102109,1274,0,completed,1,1
102109,761,1,completed,0,1
102109,655,2,completed,0,1
102109,1281,3,completed,1,1
102109,1277,4,completed,1,1
103110,1395,7,completed,1,2
103110,1391,8,completed,1,2
103110,1590,9,completed,0,2
100117,34,9,completed,0,2
100118,1403,5,completed,1,2
100118,1396,6,completed,1,2
100118,1404,7,completed,1,2
100118,1393,8,completed,1,2
102120,1194,5,completed,1,2
102120,1256,6,completed,1,2
102120,1391,7,completed,0,2
100118,1068,9,completed,0,2
102120,1250,8,completed,1,2
102120,1096,9,completed,1,2
103108,1192,0,completed,1,1
103108,1093,1,completed,1,1
103108,1243,2,completed,1,1
103108,1248,3,completed,1,1
103108,1437,4,completed,0,1
102126,1282,5,completed,1,2
102126,1290,6,completed,1,2
102126,1283,7,completed,1,2
