semester_id,start_date,end_date,term_name,semester_year,school_year_name
29,2014-08-18,2014-12-05,Fall,2014,2014-2015
30,2015-01-19,2015-05-08,Spring,2015,2014-2015
31,2015-08-17,2015-12-04,Fall,2015,2015-2016
32,2016-01-18,2016-05-06,Spring,2016,2015-2016
33,2016-08-22,2016-12-09,Fall,2016,2016-2017
34,2017-01-23,2017-05-12,Spring,2017,2016-2017
35,2017-08-21,2017-12-08,Fall,2017,2017-2018
36,2018-01-22,2018-05-11,Spring,2018,2017-2018
37,2018-08-20,2018-12-07,Fall,2018,2018-2019
38,2019-01-21,2019-05-10,Spring,2019,2018-2019
39,2019-08-19,2019-12-06,Fall,2019,2019-2020
40,2020-01-20,2020-05-08,Spring,2020,2019-2020
41,2020-08-17,2020-12-04,Fall,2020,2020-2021
42,2021-01-18,2021-05-07,Spring,2021,2020-2021
43,2021-08-23,2021-12-10,Fall,2021,2021-2022
